caller_phone_id,receiver_phone_id,timestamp,duration_seconds,case_id
PH003,PH012,2026-08-07T21:31:10.204116,2419,C005
PH018,PH008,2026-09-01T02:31:10.204116,912,C001
PH001,PH004,2026-09-02T22:31:10.204116,251,C006
PH008,PH003,2026-08-08T08:31:10.204116,3531,C010
PH011,PH003,2026-08-28T22:31:10.204116,984,C001
PH009,PH017,2026-08-16T03:31:10.204116,2218,C006
PH005,PH020,2026-08-31T14:31:10.204116,1946,C008
PH008,PH017,2026-08-24T08:31:10.204116,789,C010
PH004,PH005,2026-09-04T02:31:10.204116,1775,C010
PH012,PH015,2026-08-24T12:31:10.204116,1922,C003
PH002,PH005,2026-08-09T14:31:10.204116,1659,C001
PH011,PH004,2026-08-17T14:31:10.204116,794,C001
PH007,PH019,2026-08-26T03:31:10.204116,584,C004
PH014,PH006,2026-08-18T21:31:10.204116,1904,C009
PH008,PH003,2026-08-25T21:31:10.204116,3319,C010
PH018,PH004,2026-08-09T03:31:10.204116,2681,C001
PH018,PH001,2026-08-10T23:31:10.204116,3096,C001
PH008,PH006,2026-08-24T08:31:10.204116,1999,C010
PH016,PH007,2026-08-24T02:31:10.204116,250,C006
PH006,PH014,2026-08-07T02:31:10.204116,1609,C003
PH009,PH016,2026-08-19T04:31:10.204116,1742,C006
PH018,PH016,2026-08-13T14:31:10.204116,787,C001
PH010,PH007,2026-08-09T11:31:10.204116,2382,C009
PH018,PH002,2026-08-20T09:31:10.204116,244,C001
PH002,PH020,2026-08-27T08:31:10.204116,2069,C001
PH017,PH006,2026-08-09T10:31:10.204116,2090,C007
PH003,PH007,2026-08-09T22:31:10.204116,2447,C005
PH003,PH009,2026-08-24T05:31:10.204116,501,C005
PH019,PH008,2026-08-31T16:31:10.204116,2445,C003
PH002,PH004,2026-08-24T21:31:10.204116,2702,C001
PH019,PH020,2026-08-29T07:31:10.204116,1305,C003
PH009,PH007,2026-09-04T13:31:10.204116,2943,C006
PH011,PH008,2026-08-18T07:31:10.204116,1631,C001
PH005,PH011,2026-08-26T12:31:10.204116,1305,C008
PH003,PH001,2026-08-26T13:31:10.204116,2554,C005
PH019,PH004,2026-08-10T03:31:10.204116,2212,C003
PH007,PH018,2026-08-18T07:31:10.204116,552,C004
PH012,PH003,2026-08-17T10:31:10.204116,1523,C003
PH010,PH006,2026-08-25T16:31:10.204116,3425,C009
PH018,PH010,2026-09-02T02:31:10.204116,3315,C001
PH017,PH001,2026-09-04T11:31:10.204116,3356,C007
PH018,PH010,2026-09-04T07:31:10.204116,434,C001
PH005,PH010,2026-08-11T22:31:10.204116,448,C008
PH018,PH005,2026-08-18T14:31:10.204116,1164,C001
PH020,PH007,2026-08-21T15:31:10.204116,843,C005
PH009,PH018,2026-08-27T20:31:10.204116,1038,C006
PH002,PH004,2026-09-03T01:31:10.204116,1744,C001
PH009,PH002,2026-08-07T03:31:10.204116,1376,C006
PH005,PH010,2026-08-13T21:31:10.204116,3046,C008
PH015,PH019,2026-08-25T05:31:10.204116,2307,C002
PH001,PH005,2026-08-10T05:31:10.204116,2840,C006
PH005,PH019,2026-08-08T12:31:10.204116,3428,C008
PH012,PH020,2026-08-30T13:31:10.204116,616,C003
PH014,PH005,2026-08-08T18:31:10.204116,1272,C009
PH012,PH002,2026-08-22T06:31:10.204116,870,C003
PH008,PH004,2026-08-22T02:31:10.204116,3205,C010
PH018,PH014,2026-09-02T11:31:10.204116,3079,C001
PH005,PH009,2026-08-13T22:31:10.204116,3286,C008
PH006,PH015,2026-08-08T01:31:10.204116,744,C003
PH011,PH015,2026-09-04T13:31:10.204116,3549,C001
