case_id,title,status,opened_at
C001,Operation Purpose,OPEN,2026-02-13T05:40:50
C002,Operation Ago,OPEN,2026-04-17T19:27:32
C003,Operation Election,OPEN,2026-03-28T16:28:29
C004,Operation Chair,OPEN,2026-02-09T19:19:27
C005,Operation Require,OPEN,2026-07-31T19:11:04
C006,Operation Begin,OPEN,2026-08-18T07:47:20
C007,Operation Knowledge,OPEN,2026-01-13T08:14:09
C008,Operation All,OPEN,2026-02-06T09:18:10
C009,Operation Discover,OPEN,2026-04-01T08:33:24
C010,Operation Mouth,OPEN,2026-08-22T19:13:16
